seccion,dominio,tipo,ttl,datos
ANSWER,www.alpha.unsigned,A,86259,172.30.0.21
ANSWER,alpha.unsigned,NS,86400,ns.alpha.unsigned
ADDITIONAL,ns.alpha.unsigned,A,86400,172.30.0.21
ANSWER,alpha.unsigned,NS,86259,ns.alpha.unsigned
ADDITIONAL,ns.alpha.unsigned,A,86259,172.30.0.21
ANSWER,unsigned,SOA,86400,mname=ns.unsigned. serial=2026082001
AUTHORITY,unsigned,NS,86400,ns.unsigned
ADDITIONAL,ns.unsigned,A,86400,172.30.0.20
ANSWER,unsigned,SOA,86400,mname=ns.unsigned. serial=2026082001
ANSWER,alpha.unsigned,SOA,86400,mname=ns.alpha.unsigned. serial=2026082101
AUTHORITY,alpha.unsigned,NS,86400,ns.alpha.unsigned
ADDITIONAL,ns.alpha.unsigned,A,86400,172.30.0.21
ANSWER,alpha.unsigned,SOA,86400,mname=ns.alpha.unsigned. serial=2026082101
